'hood	noun. (slang) a neighborhood
sycophantic	adjective. attempting to win favor from influential people by flattery | adjective. attempting to win favor by flattery
sydenham	noun. English physician (1624-1689)
sydenham's chorea	noun. chorea occurring chiefly in children and associated with rheumatic fever
sydney	noun. the largest Australian city located in southeastern Australia on the Tasman Sea; state capital of New South Wales; Australia's chief port
sydney harbor bridge	noun. a steel arch bridge in Sydney, Australia
sydney pollack	noun. United States filmmaker (born in 1934)
sydney silky	noun. Australian breed of toy dogs having a silky blue coat
syllabary	noun. a writing system whose characters represent syllables
syllabic	adjective. of or relating to syllables | adjective. consisting of or using a syllabary | adjective. (of verse) having lines based on number of syllables rather than on rhythmical arrangement of stresses or quantities
syllabic script	noun. a writing system whose characters represent syllables
syllabically	adverb. in or with syllables
syllabicate	verb. divide into syllables
syllabication	noun. forming or dividing words into syllables
syllabicity	noun. the pattern of syllable formation in a particular language
syllabification	noun. forming or dividing words into syllables
syllabify	verb. divide into syllables
syllabise	verb. divide into syllables | verb. utter with distinct articulation of each syllable
syllabize	verb. divide into syllables | verb. utter with distinct articulation of each syllable
syllable	noun. a unit of spoken language larger than a phoneme
syllable structure	noun. the admissible arrangement of sounds in words
syllabled	adjective. pronounced in syllables
syllabub	noun. spiced hot milk with rum or wine | noun. sweetened cream beaten with wine or liquor
syllabus	noun. an integrated course of academic studies
syllepsis	noun. use of a word to govern two or more words though agreeing in number or case etc. with only one
syllogise	verb. reason by syllogisms
syllogiser	noun. logician skilled in syllogistic reasoning
syllogism	noun. deductive reasoning in which a conclusion is derived from two premises
syllogist	noun. logician skilled in syllogistic reasoning
syllogistic	adjective. of or relating to or consisting of syllogism
syllogize	verb. reason by syllogisms
syllogizer	noun. logician skilled in syllogistic reasoning
sylph	noun. a slender graceful young woman | noun. an elemental being believed to inhabit the air
sylphic	adjective. (of a woman or girl) slender and graceful like a sylph
sylphlike	adjective. (of a woman or girl) slender and graceful like a sylph
sylva	noun. the forest trees growing in a country or region
sylvan	noun. a spirit that lives in or frequents the woods | adjective. relating to or characteristic of wooded regions
sylvanite	noun. a silver-white mineral consisting of silver gold telluride; a source of gold in Australia and America
sylvanus	noun. (Roman mythology) god of woods and fields and flocks; Pan is the Greek counterpart
sylvester ii	noun. French pope from 999 to 1003 who was noted for his great learning (945-1003)
sylvia communis	noun. greyish-brown Old World warbler with a white throat and underparts
sylvia curruca	noun. Old World warbler similar to the greater whitethroat but smaller
sylvia plath	noun. United States writer and poet (1932-1963)
sylvian aqueduct	noun. a canal connecting the third and fourth ventricles
sylvian fissure	noun. the deepest and most prominent of the cortical fissures; separates the frontal lobes and temporal lobes in both hemispheres
sylviidae	noun. in some classifications considered a subfamily (Sylviinae) of the family Muscicapidae: Old World (true) warblers; American kinglets and gnatcatchers
sylviinae	noun. alternative classification for the Old World warblers
sylvilagus	noun. North American rabbits
sylvilagus aquaticus	noun. a wood rabbit of southeastern United States swamps and lowlands
sylvilagus floridanus	noun. widely distributed in United States except northwest and far west regions
sylvilagus palustris	noun. a wood rabbit of marshy coastal areas from North Carolina to Florida
sylvine	noun. a mineral consisting of native potassium chloride; an important ore of potassium that is found in sedimentary beds
sylvite	noun. a mineral consisting of native potassium chloride; an important ore of potassium that is found in sedimentary beds
symbion pandora	noun. only known species of Cycliophora; lives symbiotically attached to a lobster's lip by an adhesive disk and feeding by means of a hairy mouth ring; its complex life cycle includes asexual and sexual phases
symbiosis	noun. the relation between two different species of organisms that are interdependent; each gains benefits from the other
symbiotic	adjective. used of organisms (especially of different species) living together but not necessarily in a relation beneficial to each
symbiotically	adverb. in a symbiotic manner
symbol	noun. an arbitrary sign (written or printed) that has acquired a conventional significance | noun. something visible that by association or convention represents something else that is invisible
symbol-worship	noun. the worship of symbols
symbolatry	noun. the worship of symbols
symbolic	adjective. relating to or using or proceeding by means of symbols | adjective. serving as a visible symbol for something abstract | adjective. using symbolism
symbolic logic	noun. any logical system that abstracts the form of statements away from their content in order to establish abstract criteria of consistency and validity
symbolic logician	noun. a person skilled at symbolic logic
symbolic representation	noun. something visible that by association or convention represents something else that is invisible
symbolical	adjective. relating to or using or proceeding by means of symbols | adjective. serving as a visible symbol for something abstract
symbolically	adverb. in a symbolic manner | adverb. by means of symbols
symbolisation	noun. the use of symbols to convey meaning | noun. something visible that by association or convention represents something else that is invisible | noun. the practice of investing things with symbolic meaning
symbolise	verb. represent or identify by using a symbol; use symbols | verb. express indirectly by an image, form, or model; be a symbol
symboliser	noun. someone skilled in the interpretation or representation of symbols
symbolising	noun. the act of representing something with a symbol
symbolism	noun. a system of symbols and symbolic representations | noun. the practice of investing things with symbolic meaning | noun. an artistic movement in the late 19th century that tried to express abstract or mystical ideas through the symbolic use of images
